timestamp,name_drone,distance,angle,radius,type_obstacle,initial_speed_x,initial_roll,initial_pitch,initial_yaw,success,energy,time,computational_time,energy_propeller,energy_joint,traj_name
1706783982.317038,fixed_wing_drone_back,40,20,6,sphere,8,0,-5,0,True,375.98070254810165,9.646127549507444,88.0890462398529,375.974739699213,0.0059628488886307,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m42s
1706783984.684347,drone_nsga_46295d0_1,30,10,0.5,sphere,12,0,-5,0,True,19.73127757492791,5.279545878719857,42.321534156799316,19.34327701369364,0.38800056123426696,result/2024-02-01_11h38m14s/drone_nsga_46295d0_1-2024-02-01_11h39m44s
1706783985.73219,fixed_wing_drone_back,40,40,0,sphere,12,0,-5,0,False,,,91.50348424911499,,,
1706783986.639252,fixed_wing_drone_back,40,10,0.5,sphere,10,0,5,0,True,280.3953963011926,8.574687552380821,31.67423105239868,280.39163910127155,0.0037571999210136266,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m46s
1706783987.814971,drone_nsga_46295d0_1,30,0,0.5,sphere,12,0,5,0,False,,,50.034587383270264,,,
1706783988.235965,fixed_wing_drone_back,40,0,0.5,sphere,12,0,0,0,True,239.62738587279637,8.956159870438231,29.917400360107422,239.61900920860793,0.008376664188429707,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m48s
1706783989.859537,fixed_wing_drone_back,50,0,0,sphere,10,0,0,0,True,373.16928931363583,10.297921564797756,33.05339527130127,373.1659316901846,0.0033576234512326395,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m49s
1706783989.959222,fixed_wing_drone_back,50,10,4,sphere,8,0,-5,0,True,450.71183987416015,10.721704631129006,42.932740688323975,450.7057851501272,0.006054724032937072,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m49s
1706783990.406802,fixed_wing_drone_back,40,30,0.5,sphere,8,0,-5,0,True,360.338373360741,9.501864146765671,35.839481830596924,360.3328290319679,0.005544328773120706,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m50s
1706783990.612548,fixed_wing_drone_back,30,20,2,sphere,12,0,-5,0,True,130.6367625404719,6.842783454846575,34.41173315048218,130.63312253863054,0.003640001841351665,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m50s
1706783996.367653,fixed_wing_drone_back,50,10,0,sphere,8,0,5,0,True,441.1150607177633,10.567656012916641,35.0646858215332,441.1091661942896,0.005894523473697798,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m56s
1706783999.83425,fixed_wing_drone_back,30,0,0,sphere,10,0,0,0,True,189.36589170667352,6.651881755374802,20.523056507110596,189.36366346353054,0.0022282431429920006,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h39m59s
1706784001.419985,fixed_wing_drone_back,30,30,2,sphere,10,0,0,0,True,203.3184835926607,7.470108315593427,29.65418004989624,203.3140314154647,0.004452177196000547,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h40m01s
1706784002.414104,fixed_wing_drone_back,30,40,2,sphere,8,0,-5,0,False,,,108.18912482261658,,,
1706784005.782165,fixed_wing_drone_back,30,40,8,sphere,8,0,-5,0,True,337.9051225301712,8.998541663424618,60.51199746131897,337.8943916858184,0.010730844352777989,result/2024-02-01_11h38m14s/fixed_wing_drone_back-2024-02-01_11h40m05s
